55191,204 Madras Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55192,128 Lichfield Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55194,70 Kilmore Street,BeckerFraserPhotos,Creative Commons BY-NC 3.0
55196,335 Durham Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55198,335 Durham Street,BeckerFraserPhotos,Creative Commons BY-NC 3.0
55200,335 Durham Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55202,208 Hereford Street,CityScape,Creative Commons BY-NC-SA 3.0 NZ
55204,208 Hereford Street,CityScape,Creative Commons BY-NC-SA 3.0 NZ
55206,208 Hereford Street,BeckerFraserPhotos,Creative Commons BY-NC 3.0
55209,243 Madras Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55211,243 Madras Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55213,53 Cathedral Square,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55215,53 Cathedral Square,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55219,222 High Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55221,156 Lichfield Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55222,156 Lichfield Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55224,233 Cambridge Terrace,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55226,174 High Street,Moata Tamaira,Creative Commons BY-NC-SA 3.0 NZ
55228,174 High Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55230,161 Cashel Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55231,161 Cashel Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55233,161 Cashel Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55235,141 Manchester Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55237,141 Manchester Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
55241,146 High Street,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0
